review_id	paper_id	record_type	record_id	field_name	original_value	candidate_interpretation	decision	decision_status	evidence_ids	decision_rule	reviewer_status	notes
RV-P0008-0001	P0008	replicate	R-P0008-GEO-001	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0002	P0008	batch	B-P0008-GEO-001	batch_date	NR	not_applicable	NA	not_applicable	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0003	P0008	replicate	R-P0008-GEO-002	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0004	P0008	batch	B-P0008-GEO-002	batch_date	NR	not_applicable	NA	not_applicable	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0005	P0008	replicate	R-P0008-GEO-003	replicate_type	R2	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0006	P0008	batch	B-P0008-GEO-003	batch_date	NR	not_applicable	NA	not_applicable	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0007	P0008	replicate	R-P0008-GEO-004	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0008	P0008	batch	B-P0008-GEO-004	batch_date	NR	not_applicable	NA	not_applicable	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0009	P0008	replicate	R-P0008-GEO-005	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0010	P0008	batch	B-P0008-GEO-005	batch_date	NR	not_applicable	NA	not_applicable	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0011	P0008	condition	C-P0008-GEO-005	author_condition_label	87PMphase-30m-R1	possible_nocodazole_related_collection	partial_context_only	partially_verified	E-P0008-008|E-P0008-013	Preserve alias; require explicit per-GSM mapping for normalization.	machine_extracted_pending_human_review	No inference from token shape alone.
RV-P0008-0012	P0008	replicate	R-P0008-GEO-006	replicate_type	R2	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0013	P0008	batch	B-P0008-GEO-006	batch_date	NR	not_applicable	NA	not_applicable	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0014	P0008	condition	C-P0008-GEO-006	author_condition_label	90PMphase-30m-R2	possible_nocodazole_related_collection	partial_context_only	partially_verified	E-P0008-008|E-P0008-013	Preserve alias; require explicit per-GSM mapping for normalization.	machine_extracted_pending_human_review	No inference from token shape alone.
RV-P0008-0015	P0008	replicate	R-P0008-GEO-007	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0016	P0008	batch	B-P0008-GEO-007	batch_date	NR	not_applicable	NA	not_applicable	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0017	P0008	condition	C-P0008-GEO-007	author_condition_label	92PMphase-60m-R1	author_condition_or_phase_alias	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Preserve alias; require explicit per-GSM mapping for normalization.	machine_extracted_pending_human_review	No inference from token shape alone.
RV-P0008-0018	P0008	replicate	R-P0008-GEO-008	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0019	P0008	batch	B-P0008-GEO-008	batch_date	2015-06-09	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0020	P0008	replicate	R-P0008-GEO-009	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0021	P0008	batch	B-P0008-GEO-009	batch_date	2015-06-09	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0022	P0008	replicate	R-P0008-GEO-010	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0023	P0008	batch	B-P0008-GEO-010	batch_date	2015-06-09	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0024	P0008	replicate	R-P0008-GEO-011	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0025	P0008	batch	B-P0008-GEO-011	batch_date	2015-06-09	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0026	P0008	condition	C-P0008-GEO-011	author_condition_label	20150609-30m-R1	possible_nocodazole_related_collection	partial_context_only	partially_verified	E-P0008-008|E-P0008-013	Preserve alias; require explicit per-GSM mapping for normalization.	machine_extracted_pending_human_review	No inference from token shape alone.
RV-P0008-0027	P0008	replicate	R-P0008-GEO-012	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0028	P0008	batch	B-P0008-GEO-012	batch_date	2015-06-09	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0029	P0008	replicate	R-P0008-GEO-013	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0030	P0008	batch	B-P0008-GEO-013	batch_date	2015-10-09	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0031	P0008	replicate	R-P0008-GEO-014	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0032	P0008	batch	B-P0008-GEO-014	batch_date	2015-10-09	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0033	P0008	replicate	R-P0008-GEO-015	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0034	P0008	batch	B-P0008-GEO-015	batch_date	2015-10-09	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0035	P0008	replicate	R-P0008-GEO-016	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0036	P0008	batch	B-P0008-GEO-016	batch_date	2015-10-09	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0037	P0008	replicate	R-P0008-GEO-017	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0038	P0008	batch	B-P0008-GEO-017	batch_date	2015-10-09	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0039	P0008	replicate	R-P0008-GEO-018	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0040	P0008	batch	B-P0008-GEO-018	batch_date	2015-06-03	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0041	P0008	replicate	R-P0008-GEO-019	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0042	P0008	batch	B-P0008-GEO-019	batch_date	2015-06-03	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0043	P0008	replicate	R-P0008-GEO-020	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0044	P0008	batch	B-P0008-GEO-020	batch_date	2015-06-03	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0045	P0008	condition	C-P0008-GEO-020	author_condition_label	20150603-s30m-R1	possible_nocodazole_related_collection	partial_context_only	partially_verified	E-P0008-008|E-P0008-013	Preserve alias; require explicit per-GSM mapping for normalization.	machine_extracted_pending_human_review	No inference from token shape alone.
RV-P0008-0046	P0008	replicate	R-P0008-GEO-021	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0047	P0008	batch	B-P0008-GEO-021	batch_date	2015-06-03	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0048	P0008	replicate	R-P0008-GEO-022	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0049	P0008	batch	B-P0008-GEO-022	batch_date	2015-06-10	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0050	P0008	condition	C-P0008-GEO-022	author_condition_label	20150610-sG2-R1	author_condition_or_phase_alias	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Preserve alias; require explicit per-GSM mapping for normalization.	machine_extracted_pending_human_review	No inference from token shape alone.
RV-P0008-0051	P0008	replicate	R-P0008-GEO-023	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0052	P0008	batch	B-P0008-GEO-023	batch_date	2015-06-10	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0053	P0008	replicate	R-P0008-GEO-024	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0054	P0008	batch	B-P0008-GEO-024	batch_date	2015-06-10	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0055	P0008	replicate	R-P0008-GEO-025	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0056	P0008	batch	B-P0008-GEO-025	batch_date	2015-06-10	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0057	P0008	replicate	R-P0008-GEO-026	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0058	P0008	batch	B-P0008-GEO-026	batch_date	2015-08-12	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0059	P0008	replicate	R-P0008-GEO-027	replicate_type	R2	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0060	P0008	batch	B-P0008-GEO-027	batch_date	2015-08-14	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0061	P0008	replicate	R-P0008-GEO-028	replicate_type	R2	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0062	P0008	batch	B-P0008-GEO-028	batch_date	2015-08-14	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0063	P0008	replicate	R-P0008-GEO-029	replicate_type	R2	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0064	P0008	batch	B-P0008-GEO-029	batch_date	2015-08-14	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0065	P0008	replicate	R-P0008-GEO-030	replicate_type	R2	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0066	P0008	batch	B-P0008-GEO-030	batch_date	2015-08-14	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0067	P0008	replicate	R-P0008-GEO-031	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0068	P0008	batch	B-P0008-GEO-031	batch_date	2016-07-26	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0069	P0008	condition	C-P0008-GEO-031	author_condition_label	20160726-G2p-R1	author_condition_or_phase_alias	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Preserve alias; require explicit per-GSM mapping for normalization.	machine_extracted_pending_human_review	No inference from token shape alone.
RV-P0008-0070	P0008	replicate	R-P0008-GEO-032	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0071	P0008	batch	B-P0008-GEO-032	batch_date	2016-07-26	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0072	P0008	condition	C-P0008-GEO-032	author_condition_label	20160726-G2n-R1	author_condition_or_phase_alias	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Preserve alias; require explicit per-GSM mapping for normalization.	machine_extracted_pending_human_review	No inference from token shape alone.
RV-P0008-0073	P0008	replicate	R-P0008-GEO-033	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0074	P0008	batch	B-P0008-GEO-033	batch_date	2016-07-26	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0075	P0008	replicate	R-P0008-GEO-034	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0076	P0008	batch	B-P0008-GEO-034	batch_date	2016-07-26	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0077	P0008	replicate	R-P0008-GEO-035	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0078	P0008	batch	B-P0008-GEO-035	batch_date	2016-07-26	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0079	P0008	replicate	R-P0008-GEO-036	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0080	P0008	batch	B-P0008-GEO-036	batch_date	2016-07-26	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
RV-P0008-0081	P0008	condition	C-P0008-GEO-036	author_condition_label	20160726-30m-R1	possible_nocodazole_related_collection	partial_context_only	partially_verified	E-P0008-008|E-P0008-013	Preserve alias; require explicit per-GSM mapping for normalization.	machine_extracted_pending_human_review	No inference from token shape alone.
RV-P0008-0082	P0008	replicate	R-P0008-GEO-037	replicate_type	R1	biological_or_technical_replicate	UNRESOLVED	unresolved	E-P0008-008|E-P0008-013	Do not map R1/R2 without an explicit label-to-type statement.	machine_extracted_pending_human_review	The paper states duplicate time courses but does not define label type.
RV-P0008-0083	P0008	batch	B-P0008-GEO-037	batch_date	2016-07-26	candidate_experimental_batch	UNRESOLVED	unresolved	E-P0008-008	A date-like alias is a candidate, not a verified batch.	machine_extracted_pending_human_review	Original alias preserved.
