issue_id	paper_id	related_record_id	issue_type	description	checked_sources	current_assessment	requires_user_decision	status	resolution	notes
ISS-P0008-001	P0008	AC-P0008-004	official_api_unavailable	ENA Portal API在当前环境无法连接，不能核验ENA项目页及FASTQ下载字段	论文Data Availability | NCBI GEO GSE102740 | ENA Portal API	GSE、BioProject和SRA Study已确认；ENA Run/File层级待重试	no	open	NA	不得把连接失败解释为数据不存在
ISS-P0008-002	P0008	AC-P0008-004	run_mapping_not_expanded	本轮未获得SRP115572的SRR/ERR/DRR逐Run清单及GSM映射	NCBI GEO Series与Relations | ENA Portal API	Run级编号和下载链接均记为NOT_FOUND，不做猜测	no	open	NA	后续在官方API恢复后展开并与60个GEO样本对账
ISS-P0008-003	P0008	EX-P0008-001	pilot_not_exhaustive	试点只验证代表性时间序列和SMC2扰动，未穷举GSE102740的60个样本、全部condensin扰动和所有数据模态	本地论文目标页 | NCBI GEO Series	数据模型可容纳目标字段，但需下一轮修订后再批量使用	yes	deferred	NA	用户应先审查字段粒度与试点表达
UI-P0008-004	P0008	GSM2745897|GSM2745898	own_data_ambiguity	HeLa S3样本来自此前已报告数据并进行更深测序，无法仅据正文区分复用样本与新测序Run	local PDF|GEO MINiML|NCBI SRA|ENA Portal	UNRESOLVED	yes	open	NA	保守保留，不用alias猜测生物学语义
UI-P0008-005	P0008	P0008_GEO_SET	replicate_type_unresolved	R1/R2仅作为作者alias保留，当前证据不足以统一判定生物或技术重复	local PDF|GEO MINiML|NCBI SRA|ENA Portal	UNRESOLVED	yes	open	NA	保守保留，不用alias猜测生物学语义
UI-P0008-006	P0008	P0008_GEO_SET	batch_candidate_unverified	日期型alias仅作为候选batch保存，未升级为已验证实验批次	local PDF|GEO MINiML|NCBI SRA|ENA Portal	UNRESOLVED	no	open	NA	保守保留，不用alias猜测生物学语义
UI-P0008-007	P0008	Q0006|Q0007	supplement_access_limited	Science补充PDF官方入口返回访问限制，且PMC列出的107.5 MB主补充材料超过20 MB下载阈值	local PDF|GEO MINiML|NCBI SRA|ENA Portal	UNRESOLVED	no	open	NA	保守保留，不用alias猜测生物学语义
UI-P0009-001	P0009	P0009_STAGE_RELEASE_RULE	sampling_minutes_unresolved	Round4未核验的阶段分钟数已由GEO family MINiML Treatment-Protocol裁决。	GEO family MINiML	resolved	no	resolved	Use 0/25/60/120/240 min for prometa/ana.telo/early/mid/late G1; keep asyn as NR.	Resolved in round5 from official GEO sample metadata.
UI-P0009-002	P0009	SRP192917	run_level_not_expanded	Round4仅登记项目级 accession；round5已展开SRR/FASTQ级记录。	NCBI SRA RunInfo|ENA filereport	resolved	no	resolved	Expanded to 120 runs and 195 FASTQ links from official snapshots.	Resolved in round5.
UI-P0009-003	P0009	Capture-C	capture_target_not_explicit	官方GEO/SRA/ENA原始样本记录未逐GSM显式给出Capture-C bait/locus，因此measurement_target保留NR。	GEO family MINiML|NCBI SRA RunInfo|ENA filereport	UNRESOLVED	no	open	NA	Processed supplementary filenames mention loci, but raw run-to-locus mapping is not explicit enough for deterministic assignment.
UI-P0009-004	P0009	commd3_mutant	mutant_technology_unresolved	官方样本标题显示commd3_mutant，但未在已保存官方metadata中明确给出工程技术、直接靶标描述细节或预期效果。	GEO family MINiML	UNRESOLVED	no	open	NA	Condition and user catalog preserve the mutant label without inferring the engineering method.
UI-P0012-001	P0012	rep labels	replicate_type_unresolved	GEO titles contain rep labels but saved metadata does not adjudicate biological versus technical replicate.	GEO family MINiML|ENA filereport	UNRESOLVED	no	open	NA	Replicate label retained losslessly.
UI-P0012-002	P0012	run/file expansion	run_level_not_expanded	Round4 project-level gap has been expanded to run/file metadata without downloading raw files.	GEO family MINiML|NCBI RunInfo|ENA filereport	resolved	no	resolved	Expanded to 102 runs and 182 FASTQ metadata links.	Large RAW tar remains intentionally not downloaded.
UI-P0012-003	P0012	PRJNA706679	project_scope_mismatch	Configured/declaration BioProject PRJNA706679 query returns ENA read_run rows whose study_accession values are PRJNA706396 and PRJNA706676.	ENA filereport PRJNA706679	UNRESOLVED	yes	open	NA	Run rows preserve database-returned project_accession; do not infer equivalence.
UI-P0001-001	P0001	rep labels	replicate_type_unresolved	ENA aliases contain R labels but replicate type is not adjudicated in this light pass.	ENA filereport|prior pilot report	UNRESOLVED	no	open	NA	Supplementary sample table may be needed.
UI-P0001-002	P0001	ERP004055	run_level_not_expanded	Round4 run-level gap has been expanded to 13 ENA runs and paired FASTQ metadata links.	ENA filereport ERP004055	resolved	no	resolved	Expanded to 13 runs and 26 FASTQ metadata links.	Design mapping remains light.
UI-P0001-003	P0001	sample_alias_stage_parse	sample_design_light_parse	Cell-cycle stages are conservatively parsed from archive aliases and prior pilot evidence; exact synchronization timing is not fully resolved.	ENA filereport|prior pilot report	UNRESOLVED	no	open	NA	Needs supplementary materials for full design extraction.
UI-P0006-001	P0006	own_data_status	own_data_not_fully_adjudicated	Round7 preserved own_data_status conservatively because local paper text and lightweight archive snapshots were not enough to fully adjudicate study-generated versus reused for every record.	local PDF|GEO|RunInfo|ENA	UNRESOLVED	no	open	NA	Can be promoted in a later paper-focused pass with supplementary materials or submitter evidence.
UI-P0006-002	P0006	synchronization_and_time_axis	sample_design_light_parse	Round7 did not infer synchronization start, release time, or cell-cycle timepoints without explicit sample-level metadata.	GEO sample title|GEO characteristics|RunInfo|ENA	UNRESOLVED	no	open	NA	Needs supplementary tables or methods-focused extraction in later rounds.
UI-P0006-003	P0006	run_file_expansion	run_level_expanded	Whether this paper could be expanded beyond GEO sample level in the round7 light pass.	GEO|RunInfo|ENA	resolved	no	resolved	Expanded to max(90, 90) run rows.	No large sequencing files were downloaded.
UI-P0007-001	P0007	own_data_status	own_data_not_fully_adjudicated	Round7 preserved own_data_status conservatively because local paper text and lightweight archive snapshots were not enough to fully adjudicate study-generated versus reused for every record.	local PDF|GEO|RunInfo|ENA	UNRESOLVED	no	open	NA	Can be promoted in a later paper-focused pass with supplementary materials or submitter evidence.
UI-P0007-002	P0007	synchronization_and_time_axis	sample_design_light_parse	Round7 did not infer synchronization start, release time, or cell-cycle timepoints without explicit sample-level metadata.	GEO sample title|GEO characteristics|RunInfo|ENA	UNRESOLVED	no	open	NA	Needs supplementary tables or methods-focused extraction in later rounds.
UI-P0007-003	P0007	run_file_expansion	run_level_expanded	Whether this paper could be expanded beyond GEO sample level in the round7 light pass.	GEO|RunInfo|ENA	resolved	no	resolved	Expanded to max(37, 37) run rows.	No large sequencing files were downloaded.
UI-P0016-001	P0016	own_data_status	own_data_not_fully_adjudicated	Round7 preserved own_data_status conservatively because local paper text and lightweight archive snapshots were not enough to fully adjudicate study-generated versus reused for every record.	local PDF|GEO|RunInfo|ENA	UNRESOLVED	no	open	NA	Can be promoted in a later paper-focused pass with supplementary materials or submitter evidence.
UI-P0016-002	P0016	synchronization_and_time_axis	sample_design_light_parse	Round7 did not infer synchronization start, release time, or cell-cycle timepoints without explicit sample-level metadata.	GEO sample title|GEO characteristics|RunInfo|ENA	UNRESOLVED	no	open	NA	Needs supplementary tables or methods-focused extraction in later rounds.
UI-P0016-003	P0016	run_file_expansion	run_level_expanded	Whether this paper could be expanded beyond GEO sample level in the round7 light pass.	GEO|RunInfo|ENA	resolved	no	resolved	Expanded to max(0, 100) run rows.	No large sequencing files were downloaded.
UI-P0011-001	P0011	own_data_status	own_data_not_fully_adjudicated	Round7 preserved own_data_status conservatively because local paper text and lightweight archive snapshots were not enough to fully adjudicate study-generated versus reused for every record.	local PDF|GEO|RunInfo|ENA	UNRESOLVED	no	open	NA	Can be promoted in a later paper-focused pass with supplementary materials or submitter evidence.
UI-P0011-002	P0011	synchronization_and_time_axis	sample_design_light_parse	Round7 did not infer synchronization start, release time, or cell-cycle timepoints without explicit sample-level metadata.	GEO sample title|GEO characteristics|RunInfo|ENA	UNRESOLVED	no	open	NA	Needs supplementary tables or methods-focused extraction in later rounds.
UI-P0011-003	P0011	run_file_expansion	run_level_expanded	Whether this paper could be expanded beyond GEO sample level in the round7 light pass.	GEO|RunInfo|ENA	resolved	no	resolved	Expanded to max(128, 128) run rows.	No large sequencing files were downloaded.
